Year,Make,Model,Trim,engineOptions,engineDisplay,forcedInduction,transmissionOptions,drivetrainOptions,fuelType,bodyStyle,cylinders,displacement,mpg_city,mpg_highway,mpg_combined,exteriorColors,Packages,packageDetails,Options,optionDetails
,,,"Wheelbase 2,681 mm (105.6 in)","Front-engine, all-wheel-drive",,,speed ZF 9HP automatic,The car has a transverse front engine and is available in both front-wheel drive and all-wheel drive versions.,,,,,,,,,"Browse Jaguar&#39;s exceptional collection of accessories, options and gear to p","Browse Jaguar&#39;s exceptional collection of accessories, options and gear to personalise Jaguar E-PACE.Have a look at the Black pack and Cold climate pack.",,
,,,"The E-Pace launched in South Africa in March 2018, with Standard, S, SE, and HSE trims, as well as a flagship E-Pace First Edition trim which was available for the first year of sale.",Diesel:,,,,,,,,,,,,,"Oct 1, 2025The Jaguar E Pace price in the UK depends on trim level, engine choic","Oct 1, 2025The Jaguar E Pace price in the UK depends on trim level, engine choice, and optional extras.",,
,,,"The market trims were SE and HSE, both ""R-Dynamic"". It was sold with an Alexa-integrated 11.4 inch touchscreen, and the bar underneath controls interior climate temperatures.",Hybrid:,,,,,,,,,,,,,"Jaguar E-Pace is available in different power options, petrol, and diesel engine","Jaguar E-Pace is available in different power options, petrol, and diesel engines, and there is also a plug-in hybrid (PHEV) version called the P300e.",,
,,,,Electric motor,,,,,,,,,,,,,THE JAGUAR STANDARD World class engineering.,THE JAGUAR STANDARD World class engineering.,,
,,,,V mild-hybrid (Synchronous Reluctance Motor),,,,,,,,,,,,,"Feb 18, 2025The 2025 E-Pace is expected to retain its sporty handling characteri","Feb 18, 2025The 2025 E-Pace is expected to retain its sporty handling characteristics, possibly with improvements thanks to optional sport suspension and performance brakes.",,
,,,,kW Synchronous Reluctance Motor (PHEV),,,,,,,,,,,,,,,,
,,,,Hybrid drivetrain MHEV (P160/D165/D200),,,,,,,,,,,,,,,,
,,,,Battery 15 kWh Lithium ion (PHEV),,,,,,,,,,,,,,,,
,,,,The car has a transverse front engine and is available in both front-wheel drive and all-wheel drive versions.,,,,,,,,,,,,,,,,
,,,,"Production of the E-Pace ended in 2024, aligning with Jaguar's new goal of only offering fully electric vehicles going forward.",,,,,,,,,,,,,,,,
,,,,Engines,,,,,,,,,,,,,,,,
,,,,"North American models receive two variants of the 2.0 L Ingenium engine that produces either 247 hp (184 kW; 250 PS) or 296 hp (221 kW; 300 PS), all of which are mated to a 9–speed ZF 9-HP automatic.",,,,,,,,,,,,,,,,
